Age,n
0,22339.9
1,17637.9
2,9658.48
3,2129.96
4,7851.34
5,4445.32
6,1095.7
7,1723.35
8,322.05
9,723.409
10,542.157
11,594.542
12,338.347
13,188.377
14,175.043
15,144.197
16,91.4285
17,35.066
18,20.3841
19,25.1515
20,5.35229
